City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Meiktila,20.8667,95.8667,79.2,81,100,13.0,MM,1627218901
Caucayá,-0.1934,-74.7819,69.46,98,100,1.34,CO,1627218902
Corinth,37.9407,22.9573,91.83,35,0,1.01,GR,1627218903
Kabalo,-6.05,26.9167,90.25,23,45,10.29,CD,1627218904
Canto do Buriti,-8.11,-42.9444,80.38,51,57,13.47,BR,1627218906
Sinazongwe,-17.2614,27.4618,71.4,36,3,4.45,ZM,1627218908
Blagodarnyy,45.0978,43.4364,88.23,30,38,12.3,RU,1627218909
Santa Cruz de la Sierra,-17.8,-63.1667,77.05,65,4,16.11,BO,1627218910
Gorgan,36.8387,54.4348,88.23,68,71,8.21,IR,1627218912
Marfino,55.7028,37.3822,73.65,39,0,8.95,RU,1627218914
Liwale,-9.7667,37.9333,79.61,26,0,11.43,TZ,1627218915
Trincomalee,8.5711,81.2335,87.03,63,84,17.16,LK,1627218916
Pedernales,18.0384,-71.744,82.63,69,25,1.95,DO,1627218916
Ribeirão,-8.5144,-35.3778,75.51,80,35,11.05,BR,1627218917
Sabha,27.0377,14.4283,94.96,16,0,8.41,LY,1627218875
Chamba,32.5667,76.1333,81.99,89,100,0.94,IN,1627218919
Vila Franca do Campo,37.7167,-25.4333,70.21,72,79,6.69,PT,1627218919
Amapá,1.0,-52.0,83.7,61,29,3.56,BR,1627218920
Bungu,-7.6337,39.0582,84.43,26,0,9.98,TZ,1627218923
San Antonio,29.4241,-98.4936,77.45,91,20,4.61,US,1627218924
Kalabo,-14.97,22.6814,79.54,19,0,11.1,ZM,1627218925
St. George's,12.0564,-61.7485,83.88,84,40,17.27,GD,1627218834
Senec,48.2195,17.4004,86.9,53,20,10.36,SK,1627218927
Scarborough,54.2797,-0.4044,71.92,69,81,3.0,GB,1627218929
Yaan,7.3833,8.5667,81.75,67,89,8.68,NG,1627218930
Rāzole,16.4833,81.8333,89.89,78,100,4.16,IN,1627218932
Perbaungan,3.5679,98.956,84.31,82,96,3.27,ID,1627218932
Ploufragan,48.4914,-2.7946,70.39,81,90,11.5,FR,1627218932
Hambantota,6.1241,81.1185,81.84,76,22,19.95,LK,1627218933
Pyapon,16.2833,95.6833,80.22,82,100,12.1,MM,1627218933
Aberdeen,57.1437,-2.0981,75.49,60,0,6.91,GB,1627218934
Lastoursville,-0.8143,12.7287,95.79,33,82,3.42,GA,1627218935
Chanute,37.6792,-95.4572,81.5,89,1,3.44,US,1627218937
Wharton,29.3116,-96.1027,80.28,94,1,0.0,US,1627218938
Ughelli,5.4899,6.0074,87.3,48,83,8.32,NG,1627218939
Walvis Bay,-22.9575,14.5053,92.35,10,0,16.11,NA,1627218940
Rafrāf,37.1904,10.1837,107.92,42,2,21.68,TN,1627218942
Punta Alta,-38.8759,-62.0736,38.17,100,90,8.05,AR,1627218943
Malartic,48.1335,-78.1328,66.02,93,58,8.99,CA,1627218944
Nueva Loja,0.0847,-76.8828,73.42,100,0,2.3,EC,1627218945
Rio Claro,-22.4114,-47.5614,71.42,35,0,10.36,BR,1627218947
Sertã,39.8085,-8.0988,86.81,54,56,10.51,PT,1627218948
Mājalgaon,19.15,76.2333,82.02,68,100,16.75,IN,1627218949
Carmelo,-33.9892,-58.2856,62.17,95,69,6.51,UY,1627218950
Chake Chake,-5.2459,39.7666,77.7,53,1,20.0,TZ,1627218951
Durban,-29.8579,31.0292,66.92,78,0,5.01,ZA,1627218953
Methóni,36.8197,21.7049,91.22,59,0,10.42,GR,1627218954
Nova Olímpia,-14.7972,-57.2881,85.69,30,0,7.05,BR,1627218956
Dubăsari,47.2631,29.1608,84.99,34,16,6.2,MD,1627218957
Marsh Harbour,26.5412,-77.0636,82.36,74,100,13.15,BS,1627218958
Carutapera,-1.195,-46.02,80.98,81,97,5.12,BR,1627218959
Mitú,1.1983,-70.1733,69.78,100,100,1.05,CO,1627218961
Kadoma,34.7333,135.5833,84.6,94,1,5.68,JP,1627218685
Bafoulabé,13.8065,-10.8321,88.25,57,100,6.89,ML,1627218963
Philadelphia,39.9523,-75.1638,77.38,84,90,7.0,US,1627218833
Kabompo,-13.5927,24.2008,78.22,19,0,10.85,ZM,1627218964
Santiago del Estero,-27.7951,-64.2615,55.8,34,0,13.31,AR,1627218966
Marquette,46.5333,-87.6335,67.77,69,0,8.63,US,1627218967
Panjāb,34.388,67.0233,78.49,17,30,16.42,AF,1627218968
Steinbach am Taunus,50.1667,8.5667,83.98,46,20,9.22,DE,1627218968
Province of Mantua,45.1667,10.7833,93.49,60,60,9.71,IT,1627218969
Fereydūnkenār,36.6864,52.5225,89.91,70,18,10.36,IR,1627218970
Carmo,-21.9336,-42.6086,69.64,62,0,3.76,BR,1627218972
Weligama,5.9667,80.4167,78.76,85,71,10.29,LK,1627218973
Saint-Paul,-21.0096,55.2707,73.51,75,36,4.56,RE,1627218973
Bandarbeyla,9.4942,50.8122,86.45,46,91,25.52,SO,1627218975
Kibre Mengist,5.8833,38.9833,59.34,73,100,3.15,ET,1627218976
Herat Province,34.5,62.0,97.39,10,0,35.68,AF,1627218978
Sabzawār,36.2126,57.6819,105.08,13,0,23.02,IR,1627218979
Yola,9.2,12.4833,86.81,55,99,8.41,NG,1627218980
Pokhara,28.2333,83.9833,76.44,93,100,2.26,NP,1627218879
Abbeville,50.1,1.8333,74.68,78,100,6.13,FR,1627218704
Sítio Novo do Tocantins,-5.5183,-47.4611,84.13,54,0,0.0,BR,1627218982
Moroni,-11.7022,43.2551,75.29,70,12,18.68,KM,1627218983
Pangoa,-12.1167,-73.0,73.22,67,32,2.3,PE,1627218985
Zhanakorgan,43.9098,67.2495,106.99,10,0,18.3,KZ,1627218987
Diffa,13.3154,12.6113,93.58,39,100,13.11,NE,1627218987
Chu,43.5983,73.7614,103.37,8,0,13.09,KZ,1627218989
Altamira,-3.2033,-52.2064,84.29,74,0,4.61,BR,1627218989
Shahreza,32.0339,51.8794,94.48,9,0,18.52,IR,1627218990
Aquin,18.2833,-73.4,82.15,75,21,2.42,HT,1627218991
Maceió,-9.6658,-35.7353,74.64,88,75,13.8,BR,1627218884
Villarrica,-25.75,-56.4333,77.2,36,23,8.7,PY,1627218993
Barreirinhas,-2.7469,-42.8264,85.21,53,6,8.81,BR,1627218994
Senneterre,48.3835,-77.2328,64.62,86,22,7.9,CA,1627218995
Ugoofaaru,5.6667,73.0,81.77,76,100,22.3,MV,1627218903
Havre-St-Pierre,50.2334,-63.5986,66.56,77,1,8.05,CA,1627218996
Fuerte Olimpo,-21.0415,-57.8738,83.37,31,0,10.71,PY,1627218997
Puerto Madryn,-42.7692,-65.0385,45.64,49,61,15.19,AR,1627218999
Salinas,36.6777,-121.6555,57.99,88,90,3.44,US,1627219000
Sidi Ali,36.0998,0.4206,83.07,43,0,12.44,DZ,1627219001
Mabaruma,8.2,-59.7833,79.27,93,100,2.89,GY,1627219002
Jutaí,-5.1833,-68.9,80.6,71,55,2.01,BR,1627219003
Van,38.4924,43.3831,83.55,30,20,12.66,TR,1627219005
Euclides da Cunha,-10.5075,-39.0158,74.32,58,32,13.38,BR,1627219006
Alta Floresta,-9.8756,-56.0861,85.82,45,0,9.22,BR,1627219007
Havelock,34.8791,-76.9013,82.94,78,1,3.44,US,1627219009
Kara-Tyube,44.6336,45.4369,89.8,24,94,15.28,RU,1627219010
Caraquet,47.7941,-64.9386,75.34,67,10,4.07,CA,1627219011
Jacareacanga,-6.2222,-57.7528,87.35,38,12,3.42,BR,1627219012
West Helena,34.5507,-90.6418,80.8,78,5,4.0,US,1627219014
Teseney,15.11,36.6575,82.38,61,94,7.76,ER,1627219014
Harindānga,22.0383,88.3214,87.78,82,100,10.76,IN,1627219016
Mogapinyana,-22.3667,27.6,64.04,32,0,13.27,BW,1627219016
Chapada dos Guimarães,-15.4606,-55.7497,76.66,30,0,10.16,BR,1627219017
Sambava,-14.2667,50.1667,70.5,84,100,17.22,MG,1627219019
Chipata,-13.6333,32.65,58.62,56,98,10.51,ZM,1627218770
La Asuncion,11.0333,-63.8628,82.13,78,100,11.5,VE,1627219020
Ariquemes,-9.9133,-63.0408,84.67,42,13,0.56,BR,1627219021
Ovalle,-30.5983,-71.2003,52.09,69,0,0.78,CL,1627219023
Ikalamavony,-21.15,46.5833,59.9,69,49,11.56,MG,1627218876
Podgorica,42.4411,19.2636,94.78,26,20,10.36,ME,1627219007
Rio Grande,-32.035,-52.0986,75.31,70,100,8.46,BR,1627219024
Butler,39.4501,-84.5666,79.74,88,40,1.99,US,1627219026
Dingle,10.9995,122.6711,77.95,86,12,8.5,PH,1627219027
São Lourenço,-22.1164,-45.0544,66.38,42,0,3.06,BR,1627219027
Mahibadhoo,3.7833,72.9667,81.07,80,100,14.56,MV,1627218904
Bereket,39.2446,55.5154,105.71,23,0,10.6,TM,1627219028
Jalu,29.0331,21.5482,95.47,19,0,13.27,LY,1627219030
Cervo,43.6702,-7.4101,66.87,78,77,9.51,ES,1627219031
Gazli,40.1333,63.45,109.87,9,0,24.11,UZ,1627219032
Doba,8.65,16.85,90.0,48,99,5.06,TD,1627218823
Mweka,-4.85,21.5667,96.01,16,100,5.66,CD,1627219034
Praia da Vitória,38.7333,-27.0667,71.85,78,75,13.98,PT,1627219036
San Carlos del Zulia,9.0,-71.9135,76.12,94,100,3.6,VE,1627219038
Edd,13.9297,41.6925,92.17,49,100,2.35,ER,1627219039
Pitimbu,-7.4706,-34.8086,79.39,73,3,13.87,BR,1627219040
Clarksburg,39.2807,-80.3445,77.31,82,90,5.75,US,1627219042
Bījār,35.8668,47.6051,94.95,12,5,6.62,IR,1627219042
Mier,26.4333,-99.15,77.68,77,6,9.37,MX,1627219044
Uyuni,-20.4597,-66.825,43.75,38,99,11.41,BO,1627219045
Copiapó,-27.3667,-70.3333,46.09,49,0,0.27,CL,1627219046
Murdochville,48.9583,-65.5006,63.48,59,0,8.63,CA,1627219048
Ndélé,8.4109,20.6473,81.21,77,94,5.48,CF,1627219048
Oltu,40.5498,42.0013,86.92,35,50,8.84,TR,1627219050
Nacala,-14.5428,40.6728,77.0,53,33,14.32,MZ,1627218804
Semey,50.4111,80.2275,95.22,14,0,11.18,KZ,1627219051
Kaka,37.3482,59.6143,108.52,6,0,15.21,TM,1627219051
Garner,35.7113,-78.6142,78.82,82,47,8.34,US,1627219053
Dera Bugti,29.0307,69.151,107.8,21,19,11.18,PK,1627219053
Esim,4.8699,-2.2405,81.39,61,32,9.71,GH,1627218849
Knysna,-34.0363,23.0471,75.58,25,17,2.26,ZA,1627219054
Yankton,42.8711,-97.3973,73.11,83,1,0.0,US,1627219055
Kentau,43.5206,68.5094,104.18,10,0,15.28,KZ,1627219056
Kapoeta,4.7717,33.5903,75.2,57,100,13.98,SS,1627219056
Nikki,9.9401,3.2108,83.46,62,75,5.84,BJ,1627219058
Laela,-8.5667,32.05,62.78,47,100,11.16,TZ,1627219059
Malumfashi,11.7853,7.6218,81.91,62,100,9.4,NG,1627219061
Al Bardīyah,31.7561,25.0865,82.42,49,0,19.46,LY,1627219063
Olinda,-8.0089,-34.8553,76.73,73,20,14.97,BR,1627219064
Tarashcha,49.5583,30.4926,78.57,43,39,3.53,UA,1627219065
Villa Florida,-26.3833,-57.15,78.24,39,75,11.32,PY,1627219067
Adzopé,6.1069,-3.8619,83.77,56,100,4.21,CI,1627219068
Caravelas,-17.7125,-39.2481,74.64,66,17,6.46,BR,1627219070
Bodden Town,19.2833,-81.25,84.99,84,20,3.44,KY,1627219071
Aylmer,42.7668,-80.983,72.18,87,0,7.2,CA,1627219072
São Mateus do Sul,-25.8742,-50.3828,64.42,47,5,5.08,BR,1627218795
Shakawe,-18.3667,21.85,76.03,24,3,10.69,BW,1627219073
Brownsville,25.9018,-97.4975,82.9,88,1,0.0,US,1627219074
Pitsunda,43.1592,40.3378,80.78,74,49,1.79,GE,1627219075
Altea,38.5989,-0.0514,89.78,69,100,14.12,ES,1627219077
Satna,24.5833,80.8333,83.86,76,62,11.23,IN,1627219078
Nieuwpoort,51.1244,2.7735,76.23,60,40,9.22,BE,1627219078
Kaduqli,11.0167,29.7167,80.69,68,100,9.95,SD,1627219079
Miramar,25.9873,-80.2323,86.02,85,20,3.44,US,1627218896
Jumla,29.2747,82.1838,68.41,96,100,3.2,NP,1627219081
Gohpur,26.8833,93.6333,84.45,92,100,5.17,IN,1627219081
Zyryanovsk,49.7386,84.2719,80.29,55,0,1.3,KZ,1627219081
Šibenik,43.7272,15.9058,92.86,27,15,7.0,HR,1627219081
Gīdam,18.9833,81.4,79.83,80,31,6.2,IN,1627219082
San Ignacio,17.1561,-89.0714,77.14,88,0,4.61,BZ,1627219083
Verāval,20.9,70.3667,79.36,90,100,17.72,IN,1627219083
Arrondissement de Nevers,46.9167,3.3333,72.19,57,76,9.06,FR,1627219084
Srīsailain,16.0833,78.8667,80.82,71,100,9.51,IN,1627219085
Bibiani,6.4635,-2.3194,85.66,52,69,3.51,GH,1627219085
Lexington Park,38.2668,-76.4538,77.11,75,90,1.99,US,1627219086
Balkhash,46.844,74.9804,84.49,29,76,11.1,KZ,1627219020
Leningradskaya,46.3214,39.3877,86.85,34,53,9.19,RU,1627218874
Tshikapa,-6.4167,20.8,96.12,17,0,7.87,CD,1627219088
Ormara,25.2088,64.6357,82.72,85,97,18.7,PK,1627219089
Kudahuvadhoo,2.6708,72.8944,82.22,73,99,13.35,MV,1627218905
Cartagena,10.3997,-75.5144,80.22,94,75,4.61,CO,1627219089
Ampanihy,-24.7,44.75,68.65,42,2,17.85,MG,1627219090
Aswān,24.0934,32.907,103.3,12,0,13.15,EG,1627219092
Touros,-5.1989,-35.4608,83.3,60,15,17.92,BR,1627219093
Kargil,34.5667,76.1,80.96,24,96,6.51,IN,1627219094
Mwinilunga,-11.7358,24.4293,75.69,23,0,10.25,ZM,1627219094
Pāsighāt,28.0667,95.3333,79.95,96,100,1.74,IN,1627218967
Salinópolis,-0.6136,-47.3561,83.68,67,19,7.56,BR,1627219096
Manacapuru,-3.2997,-60.6206,84.78,57,22,3.67,BR,1627219098
Linares,-35.85,-71.6,49.17,82,100,8.03,CL,1627219099
Ponta Delgada,37.7333,-25.6667,70.52,88,40,12.66,PT,1627219100
Kisangani,0.5167,25.2,91.51,37,99,1.7,CD,1627219102
Candelaria,13.9311,121.4233,84.38,83,100,9.26,PH,1627219103
Machilipatnam,16.1667,81.1333,89.8,69,100,8.39,IN,1627219103
Pasni,25.2631,63.471,82.49,83,34,15.12,PK,1627219103
Smithville,39.3869,-94.5811,80.91,82,90,4.61,US,1627219105
Negombo,7.2083,79.8358,80.08,86,83,13.31,LK,1627218890
Aden,12.7794,45.0367,82.4,73,29,15.05,YE,1627219106
Mpongwe,-13.5091,28.155,71.19,23,0,11.21,ZM,1627219108
Prainha,-1.8,-53.48,84.0,55,92,4.68,BR,1627219109
Chhor,25.5167,69.7667,102.11,37,100,18.45,PK,1627219111
Rehoboth,-23.3167,17.0833,72.45,14,1,10.36,NA,1627219111
Trairi,-3.2778,-39.2689,86.31,40,33,12.82,BR,1627219112
Kutum,14.2,24.6667,88.54,35,91,8.52,SD,1627219114
Quelimane,-17.8786,36.8883,71.55,64,75,11.5,MZ,1627219115
Mankono,8.0586,-6.1897,82.06,59,99,5.99,CI,1627219116
Niquero,20.0431,-77.5828,81.95,79,23,2.77,CU,1627219118
Nguruka,-5.1092,31.0419,83.82,23,2,7.96,TZ,1627219119
Cape Canaveral,28.4058,-80.6048,84.27,85,40,9.22,US,1627219120
Takāb,36.4009,47.1133,95.0,12,63,5.06,IR,1627219121
Barra de Tecoanapa,16.5167,-98.75,77.36,85,100,3.04,MX,1627219122
Hutchinson,38.0608,-97.9298,82.35,78,1,1.01,US,1627219123
Tambovka,50.0969,128.0489,73.51,94,100,6.62,RU,1627219124
Puerto Escondido,15.85,-97.0667,77.83,78,20,8.05,MX,1627219124
Ürümqi,43.801,87.6005,92.35,17,20,4.47,CN,1627219125
Encruzilhada do Sul,-30.5439,-52.5219,65.73,58,20,6.71,BR,1627219125
Halifax,44.6453,-63.5724,75.52,79,0,1.99,CA,1627219056
Valparaíso,-33.0393,-71.6273,52.72,88,20,3.44,CL,1627219127
Medzilaborce,49.2719,21.9007,79.14,42,94,7.74,SK,1627219128
